Sr No,date,startup,vertical,subvertical,city,investors,round,amount,year,month
866,2017-04-05,Credit Sudhaar,Software,Credit Score Improvement Platform,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,0.0,2017,4
867,2017-04-05,Fingerlix,Software,Food Delivery Platform,Mumbai,Zephyr Peacock India,Unknown,24.75,2017,4
868,2017-04-05,Dataweave,Software,Business Intelligence Solutions,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Unknown,0.0,2017,4
869,2017-04-06,Medwell Ventures,Healthcare & Hospitality,Home-Based Healthcare Provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Unknown,173.25,2017,4
870,2017-04-06,Mech Mocha,Software,Mobile Gaming Startup,Bangalore,"Accel Partners, Shunwei Capital",Unknown,41.25,2017,4
871,2017-04-07,Buddy,Software,Startup Support Platform,Gurgaon,"YouWeCan Ventures,",Seed Funding,0.0,2017,4
872,2017-04-07,Qorqi,Healthcare & Hospitality,Online Healthcare Provider,Noida,Paytm,Seed Funding,0.0,2017,4
873,2017-04-07,Twenty Two Motors,Software,Smart Scooter Manufacturer,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed Funding,0.0,2017,4
874,2017-04-07,Pharmeasy,E-Commerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Unknown,148.5,2017,4
875,2017-04-08,Wonderchef,E-Commerce,Online Marketplace For Kitchen Products,Mumbai,Labruyere Eberl,Unknown,0.0,2017,4
876,2017-04-08,Fastfox,Software,Online Rental Discovery Platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Unknown,37.95,2017,4
877,2017-04-10,Omnify,Software,Saas Platform For Smes,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,1.2375,2017,4
878,2017-04-10,Capital Float,Software,Online Lending Platform For Sme,Bangalore,Mahindra and Mahindra Financial Services,Unknown,18.975,2017,4
879,2017-04-11,Ninjacart,E-Commerce,B2B Agri-Marketing Platform,Bangalore,"Accel Partners, Nandan Nilekanis NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Unknown,45.375,2017,4
880,2017-04-11,Mergerware,Software,Software Solutions For Mas,Bangalore,Philippe Bouchet,Seed Funding,0.825,2017,4
881,2017-04-11,Sports Flashes,Software,Online Sports Portal  Mobile App,Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,0.0,2017,4
882,2017-04-12,Clovia,E-Commerce,Online Lingerie  Sleepwear Etailer,Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Unknown,33.0,2017,4
883,2017-04-12,Emiza,Logistics,Third Party Logistics Provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Unknown,37.125,2017,4
884,2017-04-12,Hackerearth,Software,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Unknown,37.125,2017,4
885,2017-04-12,Squadrun,Software,Software-As-A-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Unknown,17.325,2017,4
886,2017-04-12,Tinmen,Software,Food Delivery Platform,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,0.0,2017,4
887,2017-04-12,Scoutmytrip,Software,Online Travel Planner,Mumbai,Z Nation Lab,Seed Funding,0.0,2017,4
888,2017-04-13,Safetykart,E-Commerce,Safety  Hygiene Products Etailer,Gurgaon,Redcliffe Capital,Unknown,0.0,2017,4
889,2017-04-13,Weareholidays,Software,Travel Packages  Planner Marketplace,Gurgaon,"Urrshila Kerkar,",Unknown,63.525,2017,4
890,2017-04-14,Ola,Software,Cab Aggregator App,Bangalore,SIMI Pacific Pte,Unknown,2145.0,2017,4
891,2017-04-15,Myly,Software,Mobile App For Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,2.5575,2017,4
892,2017-04-17,Credihealth,Software,Online Medical Assistance Platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Unknown,12.375,2017,4
893,2017-04-17,Navia Life Care,Software,Health Technology Platform,Delhi,Benori Ventures LLP,Seed Funding,0.0,2017,4
894,2017-04-17,Raw Pressery,Consumables,Raw Pressed Juices Manufacturer,Mumbai,Jacqueline Fernandez,Seed Funding,0.0,2017,4
895,2017-04-17,Snackible,Consumables,Healthy Snacks Manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,1.44375,2017,4
896,2017-04-17,Be U Salons,Software,Online Salon Discovery  Booking Services,Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,5.115,2017,4
897,2017-04-17,Simulanis,Software,Elearning  Skills Development Plat,Delhi,Village Capital,Seed Funding,0.0,2017,4
898,2017-04-17,Lendingkart,Software,Lending Platform For Small Businesses,Ahmedabad,Anicut Capital,Unknown,38.3625,2017,4
899,2017-04-18,Innefu Security Consulting,Software,Cyber Security Solutions Using Ai,Delhi,IndiaNivesh Venture Capital Fund,Unknown,16.5,2017,4
900,2017-04-18,Whodat,Software,Markerless Ar Platform,Bangalore,Ideaspring Capital,Unknown,4.95,2017,4
901,2017-04-18,Absentia,Software,Virtual Reality Startup,Bangalore,Exfinity Venture Partners,Unknown,10.3125,2017,4
902,2017-04-19,Iotrek,Software,Iot Platform For Bus,Delhi,Undisclosed Investor,Seed Funding,1.27875,2017,4
903,2017-04-20,Holachef,Software,Online Food Delivery,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Unknown,24.75,2017,4
904,2017-04-20,Wooplr,E-Commerce,Social Commerce Fashion Platform,Bangalore,Ankit Nagori,Unknown,0.0,2017,4
905,2017-04-21,Video Ken,Software,Video Based Collaborative Learning,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,8.25,2017,4
906,2017-04-24,Faasos,Consumables,Qsr Chain And Online Food Delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Unknown,51.975,2017,4
907,2017-04-24,Oyo,Software,Branded Budget Hotels Aggregator,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Unknown,2062.5,2017,4
908,2017-04-24,Toppr,Software,Learning Mobile App For Students,Mumbai,WGG International,Unknown,26.4,2017,4
909,2017-04-24,Niramai,Healthcare & Hospitality,Breast Cancer Screening Solutions,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,0.0,2017,4
910,2017-04-25,The Office Pass,Software,Coworking Spaces Booking Platform,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,2.02125,2017,4
911,2017-04-25,Urbanclap,Software,Mobile Services Marketplace,Gurgaon,Trifecta Capital,Unknown,25.575,2017,4
912,2017-04-26,Awfis,Software,Collaborative Co-Working Spaces,Mumbai,Sequoia India,Unknown,165.0,2017,4
913,2017-04-26,Myra,Software,Online Pharmacy,Bangalore,"Times Internet,Matrix Partners",Unknown,0.0,2017,4
